id|data_inversa|dia_semana|horario|uf|br|municipio|causa_acidente|tipo_acidente|classificacao_acidente|fase_dia|condicao_metereologica|pessoas|mortos|feridos_leves|feridos_graves
265221|2020-01-26|domingo|11:00:00|SP|116.0|GUARATINGUETA|Falta de Atenção à Condução|Colisão lateral|Com Vítimas Feridas|Pleno dia|Céu Claro|3|0|2|0
265222|2020-01-26|domingo|09:15:00|BA|116.0|NOVA ITARANA|Defeito Mecânico no Veículo|Saída de leito carroçável|Sem Vítimas|Pleno dia|Nublado|1|0|0|0
265223|2020-01-26|domingo|09:55:00|SC|282.0|LAGES|Desobediência às normas de trânsito pelo condutor|Colisão transversal|Com Vítimas Feridas|Pleno dia|Céu Claro|7|0|2|0
265224|2020-01-26|domingo|13:00:00|PE|101.0|RECIFE|Falta de Atenção à Condução|Colisão lateral|Com Vítimas Feridas|Pleno dia|Sol|2|0|1|0
265225|2020-01-26|domingo|13:25:00|CE|116.0|ITAITINGA|Pista Escorregadia|Capotamento|Sem Vítimas|Pleno dia|Chuva|1|0|0|0
265226|2020-01-26|domingo|12:40:00|MG|262.0|MATEUS LEME|Condutor Dormindo|Saída de leito carroçável|Com Vítimas Feridas|Pleno dia|Nublado|1|0|1|0
265227|2020-01-26|domingo|13:40:00|ES|101.0|CARIACICA|Falta de Atenção à Condução|Colisão lateral|Com Vítimas Feridas|Pleno dia|Nublado|3|0|1|1
265228|2020-01-26|domingo|13:20:00|ES|262.0|IBATIBA|Animais na Pista|Atropelamento de Animal|Com Vítimas Feridas|Pleno dia|Nublado|1|0|1|0
265229|2020-01-26|domingo|13:35:00|SP|116.0|GUARULHOS|Condutor Dormindo|Capotamento|Com Vítimas Feridas|Pleno dia|Céu Claro|1|0|1|0
265230|2020-01-26|domingo|13:00:00|MG|381.0|CARMO DA CACHOEIRA|Falta de Atenção à Condução|Saída de leito carroçável|Com Vítimas Feridas|Pleno dia|Céu Claro|1|0|1|0
265231|2020-01-26|domingo|11:30:00|RR|401.0|BONFIM|Condutor Dormindo|Saída de leito carroçável|Com Vítimas Feridas|Pleno dia|Céu Claro|1|0|1|0
265233|2020-01-26|domingo|13:40:00|ES|101.0|CARIACICA|Falta de Atenção à Condução|Colisão lateral|Com Vítimas Feridas|Pleno dia|Sol|3|0|2|0
265234|2020-01-26|domingo|12:00:00|AC|364.0|RIO BRANCO|Velocidade Incompatível|Saída de leito carroçável|Sem Vítimas|Pleno dia|Céu Claro|1|0|0|0
265235|2020-01-26|domingo|14:30:00|AL|316.0|MINADOR DO NEGRAO|Defeito Mecânico no Veículo|Saída de leito carroçável|Com Vítimas Feridas|Pleno dia|Sol|5|0|5|0
265236|2020-01-26|domingo|14:50:00|GO|20.0|FORMOSA|Sinalização da via insuficiente ou inadequada|Engavetamento|Com Vítimas Feridas|Pleno dia|Chuva|5|0|1|0
265237|2020-01-26|domingo|15:15:00|PR|476.0|CURITIBA|Desobediência às normas de trânsito pelo condutor|Colisão lateral|Sem Vítimas|Pleno dia|Sol|2|0|0|0
265238|2020-01-26|domingo|15:00:00|DF|20.0|BRASILIA|Velocidade Incompatível|Saída de leito carroçável|Com Vítimas Feridas|Pleno dia|Chuva|1|0|1|0
265239|2020-01-26|domingo|15:30:00|SC|101.0|BIGUACU|Não guardar distância de segurança|Colisão traseira|Sem Vítimas|Pleno dia|Céu Claro|2|0|0|0
265240|2020-01-26|domingo|15:10:00|GO|60.0|GUAPO|Defeito Mecânico no Veículo|Colisão com objeto estático|Sem Vítimas|Pleno dia|Nublado|1|0|0|0
265241|2020-01-26|domingo|15:50:00|GO|153.0|MORRINHOS|Velocidade Incompatível|Tombamento|Com Vítimas Feridas|Pleno dia|Nublado|4|0|1|0
265242|2020-01-26|domingo|16:05:00|BA|324.0|FEIRA DE SANTANA|Pista Escorregadia|Tombamento|Com Vítimas Feridas|Pleno dia|Chuva|2|0|1|0
265243|2020-01-26|domingo|15:55:00|CE|20.0|FORTALEZA|Agressão Externa|Colisão com objeto estático|Sem Vítimas|Pleno dia|Nublado|7|0|0|0
265244|2020-01-26|domingo|16:00:00|ES|101.0|GUARAPARI|Defeito Mecânico no Veículo|Colisão com objeto estático|Com Vítimas Feridas|Pleno dia|Nublado|5|0|3|0
265246|2020-01-26|domingo|15:45:00|SP|153.0|SAO JOSE DO RIO PRETO|Não guardar distância de segurança|Colisão com objeto estático|Com Vítimas Fatais|Pleno dia|Sol|3|1|0|0
265247|2020-01-26|domingo|15:30:00|SP|381.0|MAIRIPORA|Desobediência às normas de trânsito pelo condutor|Colisão traseira|Com Vítimas Feridas|Pleno dia|Céu Claro|2|0|1|0
265248|2020-01-26|domingo|16:15:00|SC|101.0|PALHOCA|Falta de Atenção à Condução|Colisão traseira|Com Vítimas Feridas|Pleno dia|Céu Claro|7|0|1|1
265249|2020-01-26|domingo|15:40:00|PR|476.0|CURITIBA|Defeito Mecânico no Veículo|Colisão com objeto estático|Sem Vítimas|Pleno dia|Céu Claro|1|0|0|0
265250|2020-01-26|domingo|16:20:00|SP|116.0|ROSEIRA|Defeito Mecânico no Veículo|Colisão traseira|Com Vítimas Feridas|Pleno dia|Sol|5|0|4|0
265251|2020-01-26|domingo|16:30:00|PR|277.0|CEU AZUL|Ingestão de Álcool|Colisão frontal|Com Vítimas Fatais|Pleno dia|Céu Claro|6|1|2|3
265252|2020-01-26|domingo|16:15:00|GO|60.0|RIO VERDE|Condutor Dormindo|Saída de leito carroçável|Com Vítimas Feridas|Pleno dia|Céu Claro|5|0|5|0
